month,year,Rain,Total_m3,area_m2
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0.2,0.0002,1
8,2015,0.4,0.0004,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
8,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0.8,0.0008,1
11,2015,2,0.002,1
11,2015,2.2,0.0022,1
11,2015,0.8,0.0008,1
11,2015,0.6,0.0006,1
11,2015,0.4,0.0004,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,1.4,0.0014,1
11,2015,1,0.001,1
11,2015,0.2,0.0002,1
11,2015,0.2,0.0002,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,1.2,0.0012,1
11,2015,0.2,0.0002,1
11,2015,0.4,0.0004,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0.2,0.0002,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0.2,0.0002,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0.2,0.0002,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0.6,0.0006,1
11,2015,0.4,0.0004,1
11,2015,0.2,0.0002,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0.2,0.0002,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
11,2015,0,0,1
